year	lake	sites	habitat	size	sex	Microphallus
2000	Alexandrina	1stfence	isoetes	4	female	0
2000	Alexandrina	1stfence	isoetes	5.6	female	0
2000	Alexandrina	1stfence	isoetes	5.2	female	0
2000	Alexandrina	1stfence	isoetes	3.5	male	0
2000	Alexandrina	1stfence	isoetes	3	female	0
2000	Alexandrina	1stfence	isoetes	4.5	female	0
2000	Alexandrina	1stfence	isoetes	5	female	0
2000	Alexandrina	1stfence	isoetes	4.3	female	0
2000	Alexandrina	1stfence	isoetes	3.5	female	0
2000	Alexandrina	1stfence	isoetes	4	male	0
2000	Alexandrina	1stfence	isoetes	3	female	0
2000	Alexandrina	1stfence	isoetes	3.6	female	0
2000	Alexandrina	1stfence	isoetes	3.8	female	0
2000	Alexandrina	1stfence	isoetes	4.6	female	0
2000	Alexandrina	1stfence	isoetes	4	female	0
2000	Alexandrina	1stfence	isoetes	4	female	0
2000	Alexandrina	1stfence	isoetes	4	female	0
2000	Alexandrina	1stfence	isoetes	3.1	female	0
2000	Alexandrina	1stfence	isoetes	3	female	0
2000	Alexandrina	1stfence	isoetes	5	female	0
2000	Alexandrina	1stfence	isoetes	6	female	0
2000	Alexandrina	1stfence	isoetes	6	female	0
2000	Alexandrina	1stfence	isoetes	5.3	female	1
2000	Alexandrina	1stfence	isoetes	5	female	0
2000	Alexandrina	1stfence	isoetes	4.3	female	0
2000	Alexandrina	1stfence	isoetes	4.5	male	0
2000	Alexandrina	1stfence	isoetes	4.3	female	0
2000	Alexandrina	1stfence	isoetes	5.1	female	0
2000	Alexandrina	1stfence	isoetes	4.6	female	0
2000	Alexandrina	1stfence	isoetes	3.1	male	0
2000	Alexandrina	1stfence	isoetes	4.9	male	0
2000	Alexandrina	1stfence	isoetes	3.9	female	0
2000	Alexandrina	1stfence	isoetes	4.9	male	0
2000	Alexandrina	1stfence	isoetes	4.9	female	0
2000	Alexandrina	1stfence	isoetes	4.9	female	0
2000	Alexandrina	1stfence	isoetes	4.3	female	0
2000	Alexandrina	1stfence	isoetes	4.8	female	0
2000	Alexandrina	1stfence	isoetes	5	female	0
2000	Alexandrina	1stfence	isoetes	3.8	male	0
2000	Alexandrina	1stfence	isoetes	5	female	0
2000	Alexandrina	1stfence	isoetes	5	female	0
2000	Alexandrina	1stfence	isoetes	4.5	male	0
2000	Alexandrina	1stfence	isoetes	4	female	0
2000	Alexandrina	1stfence	isoetes	5.5	female	0
2000	Alexandrina	1stfence	isoetes	3.9	female	0
2000	Alexandrina	1stfence	isoetes	3.1	female	0
2000	Alexandrina	1stfence	isoetes	4.4	female	0
2000	Alexandrina	1stfence	isoetes	4.6	female	0
2000	Alexandrina	1stfence	isoetes	4	female	0
2000	Alexandrina	1stfence	isoetes	4.9	female	0
2000	Alexandrina	1stfence	isoetes	4.6	female	0
2000	Alexandrina	1stfence	isoetes	4.9	female	0
2000	Alexandrina	1stfence	isoetes	5.1	female	0
2000	Alexandrina	1stfence	isoetes	4.3	male	0
2000	Alexandrina	1stfence	isoetes	5	female	0
2000	Alexandrina	1stfence	isoetes	3.1	male	0
2000	Alexandrina	1stfence	isoetes	4.5	female	0
2000	Alexandrina	1stfence	isoetes	4.1	female	0
2000	Alexandrina	1stfence	isoetes	4.8	female	0
2000	Alexandrina	1stfence	isoetes	4.5	female	0
2000	Alexandrina	1stfence	isoetes	4.3	female	0
2000	Alexandrina	1stfence	isoetes	3.8	female	0
2000	Alexandrina	1stfence	deep	3.7	female	0
2000	Alexandrina	1stfence	deep	3.2	female	0
2000	Alexandrina	1stfence	deep	3	female	0
2000	Alexandrina	1stfence	deep	4	female	0
2000	Alexandrina	1stfence	deep	4.6	female	0
2000	Alexandrina	1stfence	deep	4.9	male	0
2000	Alexandrina	1stfence	deep	5.2	female	0
2000	Alexandrina	1stfence	deep	4.5	female	0
2000	Alexandrina	1stfence	deep	4.4	female	0
2000	Alexandrina	1stfence	deep	5	female	0
2000	Alexandrina	1stfence	deep	4.4	female	0
2000	Alexandrina	1stfence	deep	4.2	female	0
2000	Alexandrina	1stfence	deep	5	female	0
2000	Alexandrina	1stfence	deep	3.6	female	0
2000	Alexandrina	1stfence	deep	4.8	female	0
2000	Alexandrina	1stfence	deep	4	female	0
2000	Alexandrina	1stfence	deep	5.6	female	0
2000	Alexandrina	1stfence	deep	4	female	0
2000	Alexandrina	1stfence	deep	4.7	female	0
2000	Alexandrina	1stfence	deep	4.8	female	0
2000	Alexandrina	1stfence	deep	5.2	female	0
2000	Alexandrina	1stfence	deep	3	female	0
2000	Alexandrina	1stfence	deep	5.2	female	0
2000	Alexandrina	1stfence	deep	5.4	female	0
2000	Alexandrina	1stfence	deep	5.5	female	0
2000	Alexandrina	1stfence	deep	4	female	0
2000	Alexandrina	1stfence	deep	3.9	female	0
2000	Alexandrina	1stfence	deep	5.2	female	0
2000	Alexandrina	1stfence	deep	4.6	female	0
2000	Alexandrina	1stfence	deep	4.8	female	0
2000	Alexandrina	1stfence	deep	4.8	female	0
2000	Alexandrina	1stfence	deep	5.2	female	0
2000	Alexandrina	1stfence	deep	4.8	female	0
2000	Alexandrina	1stfence	deep	4.2	female	0
2000	Alexandrina	1stfence	deep	5.8	female	0
2000	Alexandrina	1stfence	deep	4.8	female	0
2000	Alexandrina	1stfence	deep	4.8	female	0
2000	Alexandrina	1stfence	deep	5	female	0
2000	Alexandrina	1stfence	deep	6	female	0
2000	Alexandrina	1stfence	deep	3.3	female	0
2000	Alexandrina	1stfence	deep	3.2	female	0
2000	Alexandrina	1stfence	deep	5	female	0
2000	Alexandrina	1stfence	deep	3.6	female	0
2000	Alexandrina	1stfence	deep	3.2	female	0
2000	Alexandrina	1stfence	deep	5.7	female	0
2000	Alexandrina	1stfence	deep	4.1	female	0
2000	Alexandrina	1stfence	deep	3.4	female	0
2000	Alexandrina	1stfence	deep	6.5	female	0
